# f/Hz U/V
330.000 11649.000
340.000 11928.000
350.000 12322.000
360.000 12488.000
370.000 12538.000
380.000 12482.000
390.000 12726.000
400.000 12510.000
410.000 12494.000
420.000 12678.000
430.000 12718.000
440.000 12487.000
450.000 12825.000
460.000 12824.000
470.000 12850.000
480.000 12862.000
490.000 12962.000
500.000 12882.000
510.000 12815.000
520.000 12954.000
530.000 12922.000
540.000 12996.000
550.000 12914.000
560.000 12854.000
570.000 12916.000
580.000 12931.000
590.000 13047.000
600.000 13003.000
610.000 12837.000
620.000 12718.000
630.000 13000.000
640.000 12967.000
650.000 13132.000
660.000 13129.000
670.000 13269.000
680.000 13438.000
690.000 13413.000
700.000 13552.000
